id,name,code,native_name,created_at,is_active
36,English,en,,2025-06-09 15:31:46.14265,t
37,Spanish,es,,2025-06-09 15:31:46.14265,t
38,French,fr,,2025-06-09 15:31:46.14265,t
39,German,de,,2025-06-09 15:31:46.14265,t
40,Italian,it,,2025-06-09 15:31:46.14265,t
41,Portuguese,pt,,2025-06-09 15:31:46.14265,t
42,Chinese,zh,,2025-06-09 15:31:46.14265,t
43,Japanese,ja,,2025-06-09 15:31:46.14265,t
44,Korean,ko,,2025-06-09 15:31:46.14265,t
45,Russian,ru,,2025-06-09 15:31:46.14265,t
46,Arabic,ar,,2025-06-09 15:31:46.14265,t
47,Hindi,hi,,2025-06-09 15:31:46.14265,t
48,Turkish,tr,,2025-06-09 15:31:46.14265,t
49,Dutch,nl,,2025-06-09 15:31:46.14265,t
50,Polish,pl,,2025-06-09 15:31:46.14265,t
51,Swedish,sv,,2025-06-09 15:31:46.14265,t
52,Finnish,fi,,2025-06-09 15:31:46.14265,t
53,Norwegian,no,,2025-06-09 15:31:46.14265,t
54,Danish,da,,2025-06-09 15:31:46.14265,t
55,Greek,el,,2025-06-09 15:31:46.14265,t
56,Hebrew,he,,2025-06-09 15:31:46.14265,t
57,Czech,cs,,2025-06-09 15:31:46.14265,t
58,Romanian,ro,,2025-06-09 15:31:46.14265,t
59,Thai,th,,2025-06-09 15:31:46.14265,t
60,Vietnamese,vi,,2025-06-09 15:31:46.14265,t
61,Indonesian,id,,2025-06-09 15:31:46.14265,t
62,Persian,fa,,2025-06-09 15:31:46.14265,t
63,Ukrainian,uk,,2025-06-09 15:31:46.14265,t
64,Hungarian,hu,,2025-06-09 15:31:46.14265,t
65,Catalan,ca,,2025-06-09 15:31:46.14265,t
66,Serbian,sr,,2025-06-09 15:31:46.14265,t
67,Malay,ms,,2025-06-09 15:31:46.14265,t
68,Slovak,sk,,2025-06-09 15:31:46.14265,t
69,Bulgarian,bg,,2025-06-09 15:31:46.14265,t
70,Estonian,et,,2025-06-09 15:31:46.14265,t
100,Croatian,hr,,2025-06-17 10:14:12.013059,t
103,Slovenian,sl,,2025-06-17 10:14:12.241564,t
104,Lithuanian,lt,,2025-06-17 10:14:12.317094,t
105,Latvian,lv,,2025-06-17 10:14:12.39268,t
108,Bengali,bn,,2025-06-17 10:14:12.619185,t
109,Tamil,ta,,2025-06-17 10:14:12.693839,t
110,Telugu,te,,2025-06-17 10:14:12.769325,t
111,Gujarati,gu,,2025-06-17 10:14:12.844945,t
112,Punjabi,pa,,2025-06-17 10:14:12.921174,t
113,Urdu,ur,,2025-06-17 10:14:12.995956,t
115,Swahili,sw,,2025-06-17 10:14:13.14725,t
116,Afrikaans,af,,2025-06-17 10:14:13.223221,t
